site,sitename,campus,northboundingcoordinate,southboundingcoordinate,eastboundingcoordinate,westboundingcoordinate,,
BBYX00,Boiler_Bay,OSU,44.83171,44.83033,-124.06078,-124.05929,,
BHLX00,Burnt_Hill,OSU,42.2428,42.2280556,-124.38722,-124.4031,,
BLPX00,Blacklock_Point,OSU,42.876,42.876,-124.534,-124.534,,
CARX00,Cape_Arago,OSU,43.30778,43.30164,-124.40232,-124.39991,,
CBLN00,Cape_Blanco_North,OSU,42.8408,42.8408,-124.5646,-124.5646,,
CBLS00,Cape_Blanco_South,OSU,42.8344,42.8344,-124.5653,-124.5653,,
CBLX00,Cape_Blanco,OSU,42.84025,42.83969,-124.56512,-124.5658,,
CKWX00,Cape_Kiwanda,OSU,45.218769,45.217969,-123.977772,-123.980075,,
CMEN00,Cape_Mendocino_North,OSU,40.343025,40.342501,-124.362283,-124.363342,,California
CMES00,,,,,,,,California
CMRX00,Cape_Meares,OSU,45.472236,45.47035,-123.972061,-123.9726,,
FCKX00,Fogarty_Creek,OSU,44.838328,44.836964,-124.058467,-124.060014,,
FJTX00,Florence,OSU,44.0193,44.0193,-124.1439,-124.1439,,
GHVX00,Gull_Haven,OSU,44.20675,44.20368,-124.11704,-124.11651,,
IFBRXX,Fort_Bragg,OSU,39.4272,39.4272,-123.8045,-123.8045,,California
KHLX00,Kibesillah_Hill,OSU,39.604642,39.603628,-123.788607,-123.789947,,California
LRHX00,Lone_Ranch,OSU,42.101,42.101,-124.344,-124.344,,
MBYX00,Manipulation_Bay,OSU,44.83005,44.82969,-124.06255,-124.06274,,
POHX00,Port_Orford_Head,OSU,42.744233,42.74394,-124.51415,-124.514417,,
PSGX00,Point_St_George,OSU,41.785,41.785,-124.253,-124.253,,California
RKPX00,Rocky_Point,OSU,42.720064,42.717772,-124.466369,-124.468558,,
SBCX00,Stonefield_Beach,OSU,44.2425,44.2425,-124.1128,-124.1128,,
SHCX00,Shelter_Cove,OSU,40.0305556,40.03056,-124.07916,-124.07917,,California
SHLN00,Strawberry_Hill_North,OSU,44.2568,44.2568,-124.1123,-124.1123,,
SHLS00,Strawberry_Hill_South,OSU,44.2486,44.2486,-124.114,-124.114,,
SHLX00,Strawberry_Hill,OSU,44.25009,44.24923,-124.11543,-124.1144,,
SHLZ00,Strawberry_Hill_South_2,OSU,44.2474,44.2474,-124.1149,-124.1149,,
SRKX00,Seal_Rock,OSU,44.49979,44.49933,-124.08428,-124.08455,,
TRHX00,Trinidad_Head,OSU,41.0693,41.0693,-124.1589,-124.1589,,California
YBHX00,Yachats_Beach,OSU,44.31928,44.31841,-124.1084,-124.10932,,
IPTAXX,Point_Arena,OSU,38.9555,38.9555,-123.7413,-123.7413,,California
IALEXX,Alegria,UCSB,34.4672222,34.4672222,-120.27806,-120.27806,,
IANMXX,Andrew_Molera,UCSC,36.2805556,36.2805556,-121.86306,-121.86306,,
IARHXX,Arroyo_Hondo,UCSB,34.4736111,34.4736111,-120.14444,-120.14444,,
IBOHXX,Boathouse,UCSB,34.5541667,34.5541667,-120.61139,-120.61139,,
ICAMXX,Campus,UCSB,34.4044,34.4044,-119.8429,-119.8429,,
ICAYXX,Cayucos,UCSB,35.4488889,35.4488889,-120.94,-120.94,,
ICOPXX,Coal_Oil_Point,UCSB,34.4066667,34.4066667,-119.8775,-119.8775,,
IDIAXX,Diablo,UCSB,35.2125,35.2125,-120.8576,-120.8576,,
IELLXX,Ellwood,UCSB,34.4351,34.4351,-119.9321,-119.9321,,
IFIEXX,Fields,UCSB,35.2147,35.2147,-120.8589,-120.8589,,
IFOCXX,SCIForney,UCSB,34.0563889,34.0563889,-119.92222,-119.92222,,
IFRCXX,SCIFraser,UCSB,34.0625,34.0625,-119.91944,-119.91944,,
IHOPXX,Hopkins,UCSC,36.6211111,36.6211111,-121.90694,-121.90694,,
IJALXX,Jalama,UCSB,34.4952,34.4952,-120.4967,-120.4967,,
ILOLXX,Lompoc,UCSB,34.7188,34.7188,-120.6088,-120.6088,,
IMUGXX,Mugu,UCSB,34.0642,34.0642,-118.9927,-118.9927,,
IMUSXX,Mussel_Shoals,UCSB,34.3552778,34.3552778,-119.44028,-119.44028,,
INVAXX,NVAFB,UCSB,34.7712,34.7712,-120.6307,-120.6307,,
IORIXX,Orizaba,UCSB,34.04508,34.04508,-119.72188,-119.72188,,
IPIEXX,Piedras_Blancas,UCSB,35.6649,35.6649,-121.2863,-121.2863,,
IPPTXX,Pigeon_Point,UCSC,37.1852778,37.1852778,-122.39694,-122.39694,,
IPRCXX,SCIPrisoners,UCSB,34.02,34.02,-119.68694,-119.68694,,
IPTAXX,Point_Arena,OSU,38.9555,38.9555,-123.7413,-123.7413,,
IRMOXX,Rancho_Marino,UCSB,35.5641667,35.5641667,-121.08972,-121.08972,,
ISBFXX,Sandhill_Bluff,UCSC,36.9805556,36.9805556,-122.155,-122.155,,
ISCOXX,Scorpion,UCSB,34.04552,34.04552,-119.54865,-119.54865,,
ISHOXX,Shoreline,UCSB,34.3957,34.3957,-119.7137,-119.7137,,
ISTCXX,Stillwater_Cove,UCSC,36.5611111,36.5611111,-121.94028,-121.94028,,
ITENXX,Tenera,UCSB,35.206,35.206,-120.854,-120.854,,
ITRCXX,SCITRailer,UCSB,34.0519444,34.0519444,-119.90306,-119.90306,,
ITRPXX,Terrace_Point,UCSC,36.9477778,36.9477778,-122.06472,-122.06472,,
IVACXX,SCIValley,UCSB,33.9838889,33.9838889,-119.66583,-119.66583,,
IWICXX,SCIWillows,UCSB,33.9619444,33.9619444,-119.755,-119.755,,
