ID,Segment,Estry,Region,Area_km2,Xcoord,Ycoord,coords.x1,coords.x2,optional
1,S1,0,S,86.97,390882.53,4654737.61,390882.5268,4654737.609,TRUE
2,S2,0,S,55.323,385174.72,4670498.43,385174.7212,4670498.426,TRUE
3,S3,0,S,90.694,380333.54,4689051.22,380333.5448,4689051.225,TRUE
4,S4,0,S,181.742,379137.63,4706901.17,379137.6266,4706901.167,TRUE
5,S5,0,S,82.003,380027.55,4724727.94,380027.5549,4724727.938,TRUE
6,S6,0,S,123.91,370622.77,4741047.17,370622.7674,4741047.173,TRUE
7,S7,0,S,100.981,376853.66,4758224.12,376853.6624,4758224.124,TRUE
8,S8,0,S,87.372,381162.11,4776639.23,381162.1092,4776639.23,TRUE
9,S9,0,S,88.003,384126.69,4790215.11,384126.6861,4790215.113,TRUE
10,S10,0,S,71.627,389802.92,4804376.44,389802.9177,4804376.438,TRUE
11,S11,0,S,55.503,396688.99,4817682.48,396688.9874,4817682.479,TRUE
12,C1,0,C,58.623,400825.73,4834939.29,400825.728,4834939.285,TRUE
13,C2,0,C,79.578,403559.71,4851476.61,403559.7094,4851476.606,TRUE
14,C3,0,C,94.618,405400.56,4868855.89,405400.5578,4868855.887,TRUE
15,C4,0,C,116.676,406716.85,4885822.22,406716.8489,4885822.219,TRUE
16,C5,0,C,123.632,407667.58,4902907.12,407667.5796,4902907.118,TRUE
17,C6,0,C,164.073,408819.66,4919935.22,408819.6628,4919935.222,TRUE
18,C7,0,C,180.97,410433.69,4938074.96,410433.6926,4938074.964,TRUE
19,C8,0,C,96.674,412676.26,4955366.48,412676.2607,4955366.475,TRUE
20,C9,0,C,87.834,415527.2,4972793.67,415527.199,4972793.666,TRUE
21,C10,0,C,29.013,388169.92,4931483.22,388096.5991,4931531.841,TRUE
22,N1,0,N,80.884,418019.68,4988251.65,418019.6803,4988251.652,TRUE
23,N2,0,N,78.543,420210.16,5002199.82,420210.1611,5002199.82,TRUE
24,N3,0,N,78.786,421122.46,5014551.12,421122.4625,5014551.124,TRUE
25,N4,0,N,93.328,421423.39,5029748.98,421423.3897,5029748.981,TRUE
26,N5,0,N,79.856,422267.89,5044374.31,422267.8917,5044374.313,TRUE
27,N6,0,N,106.242,423300.29,5059160.28,423300.2948,5059160.282,TRUE
28,N7,0,N,100.475,422273.11,5077988.76,422273.1057,5077988.757,TRUE
29,N8,0,N,163.273,422486.4,5097299.55,422486.404,5097299.554,TRUE
30,N9,0,N,267.695,417152.79,5114590.94,417152.789,5114590.936,TRUE
31,SE1,1,S,1.737,385090.72,4776653.32,385090.7223,4776653.322,TRUE
32,SE2,1,S,44.092,396756.2,4807704.25,396756.203,4807704.254,TRUE
33,CE1,1,C,18.282,407180.77,4842837.8,407180.7747,4842837.796,TRUE
34,CE2,1,C,8.295,411906.78,4868792.85,411906.7832,4868792.852,TRUE
35,CE3,1,C,7.793,416833.75,4920471.21,416833.7495,4920471.205,TRUE
36,CE4,1,C,10.709,418588.41,4941219.71,418588.4125,4941219.709,TRUE
37,CE5,1,C,4.823,419539.96,4973264.35,419539.9556,4973264.35,TRUE
38,NE1,1,N,3.55,425618.75,5003039.63,425618.7493,5003039.626,TRUE
39,NE2,1,N,9.472,425729.02,5028343.41,425729.0179,5028343.407,TRUE
40,NE3,1,N,36.687,428738.24,5040789.58,428738.2366,5040789.584,TRUE
41,NE4,1,N,9.324,429194.34,5060564.77,429194.3391,5060564.773,TRUE
42,NE5,1,N,363.228,439010.99,5120498.62,439010.9877,5120498.625,TRUE
