,Year,Average Number,Lower Estimate (CI),Upper Estimate (CI),Estimation Uncertainty (SE),Lower 95% CI for the Mean,Upper 95% CI for the Mean
1,2026,0,0,0,0,0,0
2,2027,0,0,0,0,0,0
3,2028,0,0,0,0,0,0
4,2029,0,0,0,0,0,0
5,2030,0,0,0,0,0,0
6,2031,0,0,0,0,0,0
7,2032,0,0,0,0,0,0
8,2033,0,0,0,0,0,0
9,2034,0,0,0,0,0,0
10,2035,0,0,0,0,0,0
11,2036,0,0,0,0,0,0
12,2037,0,0,0,0,0,0
13,2038,0,0,0,0,0,0
14,2039,0,0,0,0,0,0
15,2040,0,0,0,0,0,0
16,2041,0,0,0,0,0,0
17,2042,0,0,0,0,0,0
18,2043,0,0,0,0,0,0
19,2044,0,0,0,0,0,0
20,2045,0,0,0,0,0,0
21,2046,0,0,0,0,0,0
22,2047,0,0,0,0,0,0
23,2048,0,0,0,0,0,0
24,2049,0,0,0,0,0,0
25,2050,0,0,0,0,0,0
26,2051,0,0,0,0,0,0
27,2052,0,0,0,0,0,0
28,2053,0,0,0,0,0,0
29,2054,0,0,0,0,0,0
30,2055,0,0,0,0,0,0
31,2056,0,0,0,0,0,0
32,2057,0,0,0,0,0,0
33,2058,0,0,0,0,0,0
34,2059,0,0,0,0,0,0
35,2060,0,0,0,0,0,0
36,2061,0,0,0,0,0,0
37,2062,0,0,0,0,0,0
38,2063,0,0,0,0,0,0
39,2064,0,0,0,0,0,0
40,2065,0,0,0,0,0,0
