ID,Segment,Estry,Region,Area_km2,K_value,Xcoord,Ycoord
1,S1,0,S,86.97,92.554,390882.53,4654737.61
2,S2,0,S,55.323,59.64,385174.72,4670498.43
3,S3,0,S,90.694,72.193,380333.54,4689051.22
4,S4,0,S,181.742,206.565,379137.63,4706901.17
5,S5,0,S,82.003,113.466,380027.55,4724727.94
6,S6,0,S,123.91,609.348,370622.77,4741047.17
7,S7,0,S,100.981,64.671,376853.66,4758224.12
8,S8,0,S,87.372,76.475,381162.11,4776639.23
9,S9,0,S,88.003,86.028,384126.69,4790215.11
10,S10,0,S,71.627,60.077,389802.92,4804376.44
11,S11,0,S,55.503,45.853,396688.99,4817682.48
12,C1,0,C,58.623,48.33,400825.73,4834939.29
13,C2,0,C,79.578,57.805,403559.71,4851476.61
14,C3,0,C,94.618,58.099,405400.56,4868855.89
15,C4,0,C,116.676,66.763,406716.85,4885822.22
16,C5,0,C,123.632,62.955,407667.58,4902907.12
17,C6,0,C,164.073,88.513,408819.66,4919935.22
18,C7,0,C,180.97,210.208,410433.69,4938074.96
19,C8,0,C,96.674,105.27,412676.26,4955366.48
20,C9,0,C,87.834,84.873,415527.2,4972793.67
21,C10,0,C,29.013,10,388169.92,4931483.22
22,N1,0,N,80.884,73.412,418019.68,4988251.65
23,N2,0,N,78.543,44.657,420210.16,5002199.82
24,N3,0,N,78.786,58.358,421122.46,5014551.12
25,N4,0,N,93.328,76.617,421423.39,5029748.98
26,N5,0,N,79.856,62.847,422267.89,5044374.31
27,N6,0,N,106.242,74.77,423300.29,5059160.28
28,N7,0,N,100.475,95.784,422273.11,5077988.76
29,N8,0,N,163.273,187.004,422486.4,5097299.55
30,N9,0,N,267.695,352.486,417152.79,5114590.94
31,SE1,1,S,1.737,5.716,385090.72,4776653.32
32,SE2,1,S,44.092,154.214,396756.2,4807704.25
33,CE1,1,C,18.282,63.991,407180.77,4842837.8
34,CE2,1,C,8.295,29.564,411906.78,4868792.85
35,CE3,1,C,7.793,28.104,416833.75,4920471.21
36,CE4,1,C,10.709,37.214,418588.41,4941219.71
37,CE5,1,C,4.823,15.593,419539.96,4973264.35
38,NE1,1,N,3.55,12.12,425618.75,5003039.63
39,NE2,1,N,9.472,32.501,425729.02,5028343.41
40,NE3,1,N,36.687,127.49,428738.24,5040789.58
41,NE4,1,N,9.324,32.006,429194.34,5060564.77
42,NE5,1,N,363.228,362.654,439010.99,5120498.62
